policy_number,customer_name,customer_email,customer_phone,policy_type,start_date,end_date,premium_amount,sum_assured,status,payment_frequency,nominee_name,nominee_relationship,nominee_contact,agent_name,agent_code,claim_number,claim_type,claim_amount,incident_date,claim_date,description
POL-2025-001,John Doe,john.doe@email.com,+1234567890,Health Insurance,2025-01-01,2026-01-01,50000.00,500000.00,active,monthly,Jane Doe,Spouse,+1234567891,Agent Smith,AG001,CLM-60003,medical,25000.00,2025-06-15,2025-06-20,Medical treatment for accident
POL-2025-002,Alice Johnson,alice.j@email.com,+1234567892,Life Insurance,2025-02-01,2026-02-01,75000.00,1000000.00,active,quarterly,Bob Johnson,Spouse,+1234567893,Agent Brown,AG002,CLM-60004,accidental,45000.00,2025-07-10,2025-07-12,Accidental injury claim
POL-2025-003,Mike Wilson,mike.w@email.com,+1234567894,Vehicle Insurance,2025-03-01,2026-03-01,30000.00,200000.00,pending,annual,Sarah Wilson,Daughter,+1234567895,Agent Davis,AG003,,,,,,,
POL-2025-004,Emma Brown,emma.brown@email.com,+1234567896,Health Insurance,2025-04-01,2026-04-01,45000.00,450000.00,active,monthly,Tom Brown,Son,+1234567897,Agent Wilson,AG004,CLM-60005,medical,15000.00,2025-08-05,2025-08-07,Routine medical checkup
POL-2025-005,David Lee,david.lee@email.com,+1234567898,Life Insurance,2025-05-01,2026-05-01,80000.00,800000.00,expired,annual,Lisa Lee,Wife,+1234567899,Agent Taylor,AG005,,,,,,,
POL-2025-006,Sarah Connor,sarah.c@email.com,+1234567800,Vehicle Insurance,2025-06-01,2026-06-01,35000.00,250000.00,active,quarterly,John Connor,Son,+1234567801,Agent Miller,AG006,CLM-60006,accidental,30000.00,2025-09-12,2025-09-15,Vehicle accident claim
POL-2025-007,Robert Garcia,robert.g@email.com,+1234567802,Health Insurance,2025-07-01,2026-07-01,55000.00,550000.00,pending,monthly,Maria Garcia,Wife,+1234567803,Agent Anderson,AG007,,,,,,,
POL-2025-008,Jennifer White,jen.white@email.com,+1234567804,Life Insurance,2025-08-01,2026-08-01,70000.00,700000.00,active,quarterly,Michael White,Husband,+1234567805,Agent Clark,AG008,CLM-60007,natural,40000.00,2025-10-20,2025-10-22,Natural death claim
POL-2025-009,Kevin Martinez,kevin.m@email.com,+1234567806,Vehicle Insurance,2025-09-01,2026-09-01,40000.00,300000.00,active,annual,Sofia Martinez,Wife,+1234567807,Agent Lewis,AG009,,,,,,,
POL-2025-010,Lisa Thompson,lisa.t@email.com,+1234567808,Health Insurance,2025-10-01,2026-10-01,48000.00,480000.00,expired,monthly,James Thompson,Husband,+1234567809,Agent Walker,AG010,CLM-60008,medical,20000.00,2025-11-15,2025-11-18,Emergency surgery claim
